Designator,Mid X,Mid Y,Rotation,Layer
RGB_Pot1,262.5,-180.0,0.0,top
RGB_Pot2,105.0,-207.428932,0.0,top
RGB_Pot3,127.5,-207.428932,0.0,top
RGB_Pot4,150.0,-207.5,0.0,top
RGB_Pot5,172.5,-207.5,0.0,top
RGB_Pot6,195.0,-207.5,0.0,top
RGB_Pot7,240.0,-207.5,0.0,top
RGB_Pot8,217.5,-207.5,0.0,top
RGB_Pot9,262.5,-207.5,0.0,top
RV1,104.9492,-90.0,0.0,top
RV1001,230.46,-75.0,0.0,top
RV11,244.9492,-120.0,0.0,top
RV12,90.5,-142.2,90.0,top
RV13,90.5,-131.22,90.0,top
RV14,104.9492,-150.0,0.0,top
RV15,139.9492,-150.0,0.0,top
RV16,90.5,-153.2,90.0,top
RV17,90.5,-164.2,90.0,top
RV18,105.0,-180.0,180.0,top
RV19,140.0,-180.0,180.0,top
RV2,117.0,-81.42,90.0,top
RV20,175.0,-180.0,180.0,top
RV21,245.0,-180.75,180.0,top
RV22,282.5,-180.0,180.0,top
RV3,139.9492,-90.0,0.0,top
RV4,174.9492,-90.0,0.0,top
RV5,209.9492,-90.0,0.0,top
RV6,244.9492,-90.0,0.0,top
RV7,139.9492,-120.0,0.0,top
RV8,174.9492,-120.0,0.0,top
RV9,209.9492,-120.0,0.0,top
SW1,104.8984,-120.0,90.0,top
SW2,174.9492,-150.0,90.0,top
SW3,209.9492,-150.0,-90.0,top
SW4,244.9492,-150.0,90.0,top
SW5,282.5,-207.5,0.0,top
SW6,268.5,-76.0825,0.0,bottom
SW7,294.9175,-155.0425,-90.0,bottom
SW8,210.0,-180.0,-90.0,top
TH1,117.99,-108.7,0.0,bottom
U1,230.6,-101.775,180.0,bottom
U10,272.5,-216.75,180.0,bottom
U11,249.5,-196.625,0.0,bottom
U12,137.5,-196.75,0.0,bottom
U13,182.0,-216.75,180.0,bottom
U2,269.05,-125.7,180.0,bottom
U201,297.17,-204.5,90.0,bottom
U3,122.0,-139.65,180.0,bottom
U4,91.7,-110.0,180.0,bottom
U5,295.25,-185.25,-90.0,bottom
U6,157.75,-131.0,180.0,bottom
U7,157.75,-150.5,180.0,bottom
U8,192.0,-155.85,180.0,bottom
U9,218.56,-181.75,0.0,bottom
Y1,205.06,-184.25,-90.0,bottom
